booking_id,member_id,space_id,booking_date,start_time,end_time,is_cancelled
1,76,25,2025-06-27,14:00:00,18:00:00,1
2,77,23,2025-03-11,07:00:00,11:00:00,0
3,78,56,2025-10-13,07:00:00,11:00:00,0
4,79,80,2025-10-22,19:00:00,21:00:00,0
5,79,95,2025-11-30,15:00:00,16:00:00,0
6,79,146,2025-10-09,11:00:00,13:00:00,0
7,79,115,2025-10-05,09:00:00,11:00:00,0
8,79,111,2025-12-28,14:00:00,15:00:00,0
9,79,111,2025-11-23,17:00:00,19:00:00,0
10,79,50,2025-12-15,06:00:00,08:00:00,0
11,79,1,2025-11-26,18:00:00,19:00:00,0
12,79,51,2025-11-10,17:00:00,19:00:00,0
13,79,53,2025-12-04,17:00:00,21:00:00,0
14,79,21,2025-12-12,08:00:00,12:00:00,0
15,79,70,2025-10-02,18:00:00,20:00:00,0
16,79,136,2025-11-07,16:00:00,18:00:00,0
17,79,50,2025-11-30,09:00:00,13:00:00,0
18,79,13,2025-12-02,18:00:00,20:00:00,0
19,79,1,2025-10-04,17:00:00,21:00:00,0
20,79,93,2025-10-10,14:00:00,15:00:00,0
21,79,39,2025-11-22,11:00:00,12:00:00,0
22,79,28,2025-12-13,08:00:00,09:00:00,0
23,80,136,2025-10-15,06:00:00,07:00:00,0
24,81,105,2025-08-17,06:00:00,08:00:00,0
25,82,6,2025-05-30,09:00:00,13:00:00,0
26,82,137,2025-07-28,13:00:00,15:00:00,0
27,82,131,2025-07-14,12:00:00,16:00:00,0
28,82,130,2025-07-23,10:00:00,11:00:00,0
29,82,106,2025-06-19,14:00:00,18:00:00,0
30,82,39,2025-06-08,08:00:00,10:00:00,0
31,83,110,2025-07-29,16:00:00,18:00:00,0
32,84,140,2025-12-18,16:00:00,18:00:00,0
33,84,138,2025-12-09,10:00:00,12:00:00,0
34,84,110,2025-12-04,10:00:00,12:00:00,0
35,84,91,2025-11-06,18:00:00,20:00:00,0
36,84,1,2025-11-28,18:00:00,22:00:00,0
37,85,13,2025-08-08,15:00:00,16:00:00,0
38,85,4,2025-08-20,15:00:00,19:00:00,0
39,85,60,2025-09-06,08:00:00,10:00:00,0
40,85,24,2025-09-11,10:00:00,12:00:00,0
41,85,8,2025-09-30,10:00:00,14:00:00,0
42,86,139,2025-06-30,07:00:00,09:00:00,0
43,87,10,2025-03-01,18:00:00,22:00:00,0
44,88,142,2025-05-30,14:00:00,18:00:00,1
45,88,148,2025-05-24,14:00:00,15:00:00,0
46,88,101,2025-05-20,08:00:00,09:00:00,0
47,88,87,2025-06-01,06:00:00,07:00:00,0
48,88,105,2025-05-13,10:00:00,12:00:00,0
49,88,37,2025-05-11,08:00:00,09:00:00,0
50,88,76,2025-06-02,16:00:00,17:00:00,0
51,89,86,2025-01-07,10:00:00,12:00:00,0
52,89,28,2025-01-06,18:00:00,22:00:00,0
53,89,78,2025-01-06,19:00:00,20:00:00,0
54,89,53,2025-01-03,13:00:00,17:00:00,0
55,89,129,2025-01-03,12:00:00,14:00:00,0
56,90,50,2025-03-02,08:00:00,12:00:00,0
